True,handle__connack,exclusion,Function,4
True,packet__cleanup,exclusion,Function,4
def(WITH_BROKER),db__message_update,exclusion,Function,4
def(WITH_BROKER),_mosquitto_handle_pubackcomp,additon,Function,4
True,packet__read_uint16,exclusion,Function,4
True,payloadlen,additon,Variable,4
!def(WITH_BROKER),_mosquitto_handle_pubrel,additon,Function,4
True,log__printf,exclusion,Function,4
True,mqtt3_db_message_delete,additon,Function,4
True,mqtt3_db_message_update,additon,Function,4
True,topic,exclusion,Variable,4
True,message__out_update,exclusion,Function,4
True,_mosquitto_message_remove,additon,Function,4
True,message__delete,exclusion,Function,4
!def(WITH_BROKER),_mosquitto_send_pubcomp,additon,Function,4
True,net__socket_get_address,exclusion,Function,4
True,mqtt3_db_message_write,additon,Function,4
True,_mosquitto_message_cleanup,additon,Function,4
!def(WITH_BROKER),handle__pubrel,exclusion,Function,4
True,mqtt3_db_message_release,additon,Function,4
!def(WITH_BROKER),packet__queue,exclusion,Function,4
True,retain,additon,Variable,4
!def(WITH_BROKER),_mosquitto_send_pubrec,additon,Function,4
!def(WITH_BROKER),handle__pubrec,exclusion,Function,4
True,context,exclusion,Variable,4
True,_mosquitto_message_delete,additon,Function,4
!def(WITH_BROKER),_mosquitto_send_puback,additon,Function,4
True,_mosquitto_socket_get_address,additon,Function,4
True,_mosquitto_message_out_update,additon,Function,4
True,mqtt3_db_message_reconnect_reset,additon,Function,4
!def(WITH_BROKER),_mosquitto_message_out_update,additon,Function,4
def(WITH_BROKER),packet__read,exclusion,Function,4
!def(WITH_BROKER),handle__pingresp,exclusion,Function,4
True,qos,additon,Variable,4
!def(WITH_BROKER),handle__pingreq,exclusion,Function,4
def(WITH_BROKER),mqtt3_db_message_update,additon,Function,4
def(WITH_BROKER),handle__pubackcomp,exclusion,Function,4
True,db__message_delete,exclusion,Function,4
True,cfg,exclusion,Variable,4
True,mosq,exclusion,Variable,4
True,mid,additon,Variable,4
True,db__message_update,exclusion,Function,4
True,mqtt3_subs_clean_session,additon,Function,4
True,_sub_add,additon,Function,4
True,mqtt3_db_messages_delete,additon,Function,4
True,db__message_write,exclusion,Function,4
True,message__cleanup,exclusion,Function,4
!def(WITH_BROKER),_mosquitto_send_pubrel,additon,Function,4
!def(WITH_BROKER),_mosquitto_send_publish,additon,Function,4
!def(WITH_BROKER),message__out_update,exclusion,Function,4
True,message__remove,exclusion,Function,4
!def(WITH_BROKER),_mosquitto_handle_pingresp,additon,Function,4
True,mqtt3_db_messages_easy_queue,additon,Function,4
True,int_db,exclusion,Variable,4
True,_mosquitto_log_printf,additon,Function,4
True,db,additon,Variable,4
True,db__message_release,exclusion,Function,4
!def(WITH_BROKER),_mosquitto_handle_pubrec,additon,Function,4
True,_mosquitto_will_set,additon,Function,4
True,mqtt3_context_cleanup,additon,Function,4
