(def(UWSGI_SPOOLER)&!def(ROCK_SOLID)&def(__BIG_ENDIAN__)),True
True,def(__BIG_ENDIAN__)
(def(__BIG_ENDIAN__)&def(UWSGI_SNMP)),def(UWSGI_SNMP)
True,!def(ROCK_SOLID)
(def(UWSGI_SPOOLER)&!def(ROCK_SOLID)),(def(UWSGI_SPOOLER)&!def(ROCK_SOLID)&def(__BIG_ENDIAN__))
(def(UWSGI_SPOOLER)&!def(ROCK_SOLID)),True
(def(UWSGI_SNMP)&!def(__BIG_ENDIAN__)&(!def(__BIG_ENDIAN__)|!def(UWSGI_SNMP))),def(UWSGI_SNMP)
def(UWSGI_SPOOLER),True
!def(ROCK_SOLID),True
(def(UWSGI_SPOOLER)&!def(ROCK_SOLID)),(def(__BIG_ENDIAN__)&def(UWSGI_SPOOLER))
(def(UWSGI_SPOOLER)&!def(ROCK_SOLID)),!def(ROCK_SOLID)
(def(__linux__)&def(UWSGI_PROXY)),def(UWSGI_PROXY)
!def(NGX_HAVE_LITTLE_ENDIAN),True
def(UWSGI_SPOOLER),!def(ROCK_SOLID)
def(__BIG_ENDIAN__),True
def(UWSGI_SPOOLER),(def(__BIG_ENDIAN__)&def(UWSGI_SPOOLER))
(def(__BIG_ENDIAN__)&def(UWSGI_SPOOLER)),True
True,!def(NGX_HAVE_LITTLE_ENDIAN)
