True,def(__BIG_ENDIAN__)
!def(NGX_HAVE_LITTLE_ENDIAN),def(__BIG_ENDIAN__)
True,!def(NGX_HAVE_LITTLE_ENDIAN)
(def(UWSGI_SPOOLER)&!def(ROCK_SOLID)),def(__BIG_ENDIAN__)
(def(UWSGI_SPOOLER)&!def(ROCK_SOLID)&def(__BIG_ENDIAN__)),def(__BIG_ENDIAN__)
(def(UWSGI_SPOOLER)&!def(ROCK_SOLID)),(def(UWSGI_SPOOLER)&!def(ROCK_SOLID)&def(__BIG_ENDIAN__))
!def(ROCK_SOLID),True
(def(__BIG_ENDIAN__)&def(UWSGI_SNMP)),def(UWSGI_SNMP)
def(__BIG_ENDIAN__),True
(def(__BIG_ENDIAN__)&def(UWSGI_SPOOLER)),!def(ROCK_SOLID)
(def(__BIG_ENDIAN__)&def(UWSGI_SPOOLER)),def(__BIG_ENDIAN__)
(def(UWSGI_SPOOLER)&!def(ROCK_SOLID)),!def(ROCK_SOLID)
True,!def(ROCK_SOLID)
(def(UWSGI_SNMP)&!def(__BIG_ENDIAN__)&(!def(__BIG_ENDIAN__)|!def(UWSGI_SNMP))),def(UWSGI_SNMP)
def(UWSGI_SPOOLER),def(__BIG_ENDIAN__)
(def(UWSGI_SPOOLER)&!def(ROCK_SOLID)),(def(__BIG_ENDIAN__)&def(UWSGI_SPOOLER))
!def(ROCK_SOLID),def(__BIG_ENDIAN__)
def(UWSGI_SPOOLER),(def(__BIG_ENDIAN__)&def(UWSGI_SPOOLER))
