True,def(MODBUS_CLIENT_SUPPORT)
True,def(LARGESCREEN)
def(MCUF_IMAGE_SUPPORT),True
def(HD44780_READBACK),True
(def(USB_HID_KEYBOARD_ECMD_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(USB_KEYBOARD_SUPPORT)
def(HTTPD_SOAP_SUPPORT),True
def(CRON_DEFAULT_UTC),True
True,def(HTTPD_AUTH_SUPPORT)
(def(USB_MOUSE_SEQUENCE_SUPPORT)&def(USB_MOUSE_SUPPORT)),def(USB_MOUSE_SUPPORT)
def(USB_NET_SUPPORT),def(PS2_SUPPORT)
(def(USB_HID_KEYBOARD_SEQUENCE_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(PS2_SUPPORT)
def(ECMD_USB_SUPPORT),def(PS2_SUPPORT)
(!def(RFM12_DISABLE)&!def(TEENSY_SUPPORT)),(!def(TEENSY_SUPPORT)&!def(RFM12_IP_SUPPORT))
(def(USB_HID_KEYBOARD_ECMD_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(PS2_SUPPORT)
def(MODBUS_CLIENT_SUPPORT),True
(def(LARGESCREEN)&def(DEBUG)),True
def(USB_KEYBOARD_SUPPORT),(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT))
def(PS2_SUPPORT),def(USB_KEYBOARD_SUPPORT)
def(LCD_DRAWBITMAP_USED),True
def(MCUF_CLEAN_SUPPORT),True
!def(IPV6_SUPPORT),True
(def(ROUTER_SUPPORT)&def(USB_NET_SUPPORT)),def(USB_NET_SUPPORT)
(def(ROUTER_SUPPORT)&def(IP_FORWARDING_SUPPORT)),def(ROUTER_SUPPORT)
def(MDNS_SD_SUPPORT),def(ETHERNET_SUPPORT)
!def(DC3840_BLACK_WHITE),True
def(DNS_SUPPORT),True
True,def(ECMD_PAM_SUPPORT)
(!def(TEENSY_SUPPORT)&!def(RFM12_IP_SUPPORT)),True
def(I2C_PCF8574X_SUPPORT),True
def(DC3840_BLACK_WHITE),True
True,def(GLCDMENU_S1D13305)
True,def(MDNS_SD_SUPPORT)
(def(RFM12_ASK_2272_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT)&def(TEENSY_SUPPORT)),(def(TEENSY_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT))
def(PS2_SUPPORT),(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT))
!def(DC3840_HIGH_COMPRESSION),True
True,!def(DISABLE_IPCONF_SUPPORT)
def(DEBUG),(!def(DEBUG)&def(LARGESCREEN))
!def(DISABLE_IPCONF_SUPPORT),True
True,def(PS2_SUPPORT)
!def(RFM12_IP_SUPPORT),True
def(MCUF_SPIRAL_SUPPORT),True
(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(PS2_SUPPORT)
def(RFM12_DISABLE),True
def(USB_NET_SUPPORT),def(ROUTER_SUPPORT)
(!def(RFM12_IP_SUPPORT)&def(CONF_RFM12B_SUPPORT)),True
def(DISABLE_IPCONF_SUPPORT),True
def(USB_MOUSE_SUPPORT),def(USB_KEYBOARD_SUPPORT)
def(TFTPOMATIC_SUPPORT),def(BOOTLOADER_SUPPORT)
!def(DEBUG_CRON_DRYRUN),True
True,def(I2C_PCF8574X_SUPPORT)
def(SD_PING_READ),True
(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(USB_KEYBOARD_SUPPORT)
True,!def(DEBUG)
def(MODBUS_CLIENT_SUPPORT),def(PS2_SUPPORT)
def(HTTPD_AUTH_SUPPORT),True
!def(DEBUG),(!def(DEBUG)&def(LARGESCREEN))
(def(ROUTER_SUPPORT)&def(ZBUS_SUPPORT)),True
(def(TEENSY_SUPPORT)&!def(RFM12_DISABLE)),True
(def(RFM12_ASK_2272_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT)),(def(TEENSY_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT))
(def(RFM12_ASK_2272_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT)),(def(RFM12_ASK_2272_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT)&def(TEENSY_SUPPORT))
def(TEENSY_SUPPORT),True
True,def(DEBUG)
def(ECMD_PAM_SUPPORT),True
True,!def(SOFT_SPI_SUPPORT)
def(HTTP_SD_DIR_SUPPORT),True
True,def(LCD_DRAWBITMAP_USED)
True,!def(MDNS_SD_SUPPORT)
def(I2C_PCF8574X_SUPPORT),def(PS2_SUPPORT)
(def(ZBUS_RAW_SUPPORT)&def(ROUTER_SUPPORT)),True
True,def(DNS_SUPPORT)
def(ETHERNET_SUPPORT),!def(IPV6_STATIC_SUPPORT)
def(DEBUG),!def(DEBUG)
True,!def(TEENSY_SUPPORT)
def(DUAL_HBRIDGE_SUPPORT),True
True,def(VFS_PWM_WAV_SUPPORT)
def(ETHERNET_SUPPORT),True
True,def(PWM_SERVO_SUPPORT)
def(DUAL_HBRIDGE_SUPPORT),!def(DUAL_HBRIDGE_SUPPORT)
def(DC3840_UDP_DEBUG),True
def(DEBUG),True
def(VFS_SUPPORT),def(HTTPD_AUTH_SUPPORT)
!def(DEBUG),(def(LARGESCREEN)&def(DEBUG))
True,(!def(VFS_TEENSY)&def(ETHERNET_SUPPORT))
(!def(SOFT_UART_SUPPORT)&!def(DEBUG_USE_SYSLOG)),True
!def(CRON_DEFAULT_UTC),True
def(CRON_SUPPORT_TEST),True
def(MCUF_CHESS_SUPPORT),True
True,(def(ROUTER_SUPPORT)&def(USB_NET_SUPPORT))
def(DEBUG),(def(LARGESCREEN)&def(DEBUG))
!def(DNS_SUPPORT),True
(def(ROUTER_SUPPORT)&def(IP_FORWARDING_SUPPORT)),(def(ROUTER_SUPPORT)&def(USB_NET_SUPPORT))
True,def(TEENSY_SUPPORT)
!def(DUAL_HBRIDGE_SUPPORT),True
def(ECMD_SERIAL_USART_SUPPORT),True
True,!def(IPV6_SUPPORT)
True,def(ECMD_USB_SUPPORT)
def(I2C_LM75_SUPPORT),True
(def(USB_HID_KEYBOARD_SEQUENCE_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(USB_KEYBOARD_SUPPORT)
!def(IPV6_STATIC_SUPPORT),def(TFTPOMATIC_SUPPORT)
!def(HD44780_MULTIENSUPPORT),True
def(USB_KEYBOARD_SUPPORT),def(PS2_SUPPORT)
True,def(ROUTER_SUPPORT)
True,def(HD44780_MULTIENSUPPORT)
def(HD44780_MULTIENSUPPORT),True
!def(TEENSY_SUPPORT),True
!def(MDNS_SD_SUPPORT),def(ETHERNET_SUPPORT)
True,!def(DNS_SUPPORT)
True,def(USB_NET_SUPPORT)
def(ECMD_PARSER_SUPPORT),True
(((def(MCUF_SPIRAL_SUPPORT)&def(MCUF_MODUL_SUPPORT))|(def(MCUF_CLEAN_SUPPORT)&def(MCUF_MODUL_SUPPORT))|def(MCUF_MODUL_SUPPORT))&(!def(MCUF_MODUL_BORG16_SUPPORT)|!def(MCUF_MODUL_SUPPORT))&((def(MCUF_SPIRAL_SUPPORT)&def(MCUF_MODUL_SUPPORT))|(def(MCUF_CLEAN_SUPPORT)&def(MCUF_MODUL_SUPPORT)))&def(MCUF_MODUL_SUPPORT)&def(MCUF_SPIRAL_SUPPORT)&def(MCUF_CLEAN_SUPPORT)),(def(MCUF_SPIRAL_SUPPORT)&def(MCUF_MODUL_SUPPORT)&(!def(MCUF_CLEAN_SUPPORT)|!def(MCUF_MODUL_SUPPORT)))
(def(ZBUS_RAW_SUPPORT)&def(ROUTER_SUPPORT)),def(ROUTER_SUPPORT)
!def(SOFT_SPI_SUPPORT),def(PS2_SUPPORT)
!def(DEBUG),True
def(DC3840_UDP_DEBUG),def(ROUTER_SUPPORT)
!def(DEBUG_USE_SYSLOG),def(PS2_SUPPORT)
def(MCUF_SCROLLTEXT_SUPPORT),True
True,!def(DEBUG_USE_SYSLOG)
True,!def(GUI_SUPPORT)
True,def(ETHERNET_SUPPORT)
def(GLCDMENU_S1D13305),True
def(USB_NET_SUPPORT),True
def(SRAM_MEMTEST_ON_BOOT),True
def(I2C_PCA9531_SUPPORT),True
def(VFS_SUPPORT),True
def(ECMD_USB_SUPPORT),True
def(LARGESCREEN),True
def(I2C_MAX7311_SUPPORT),True
(def(MCUF_CLEAN_SUPPORT)&def(MCUF_MODUL_SUPPORT)&((def(MCUF_SPIRAL_SUPPORT)&def(MCUF_MODUL_SUPPORT))|(def(MCUF_CLEAN_SUPPORT)&def(MCUF_MODUL_SUPPORT)))),def(MCUF_CLEAN_SUPPORT)
(!def(DEBUG)&def(LARGESCREEN)),True
(def(USB_HID_KEYBOARD_SEQUENCE_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT))
!def(DEBUG),def(DEBUG)
def(DC3840_HIGH_COMPRESSION),True
!def(SOFT_SPI_SUPPORT),True
(def(RFM12_ASK_SENSING_SUPPORT)&def(RFM12_ASK_EXTERNAL_FILTER_SUPPORT)),True
!def(TFTPOMATIC_SUPPORT),def(BOOTLOADER_SUPPORT)
!def(IPV6_STATIC_SUPPORT),def(ETHERNET_SUPPORT)
