!def(FEAT_MBYTE),def(FEAT_MBYTE)
True,def(WSDEBUG)
!def(FEAT_MBYTE),True
def(FEAT_MBYTE),True
True,def(NBDEBUG)
!def(NO_CONSOLE),True
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
def(FEAT_FKMAP),True
def(EBCDIC),True
True,!def(RISCOS)
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
True,def(FEAT_MBYTE)
def(FEAT_GUI),True
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
!def(RISCOS),True
True,!def(FEAT_BEVAL)
!def(FEAT_BEVAL),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
!def(EBCDIC),True
