(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),def(NBDEBUG)
def(WIN32),True
def(INET_SOCKETS),def(_WIN32)
def(WSDEBUG),True
def(WSDEBUG),(def(USE_WS_ERRORHANDLER)&def(WSDEBUG))
True,def(WSDEBUG)
True,def(_WIN32)
!def(INET_SOCKETS),def(_WIN32)
def(NBDEBUG),True
def(MAIN),True
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),def(WSDEBUG)
def(INET_SOCKETS),True
!def(INET_SOCKETS),def(INET_SOCKETS)
!def(INET_SOCKETS),True
True,def(WIN32)
def(NBDEBUG),def(WSDEBUG)
def(NBDEBUG),(def(USE_NB_ERRORHANDLER)&def(NBDEBUG))
