True,def(WSDEBUG)
True,!def(FEAT_PROFILE)
True,def(WIN32)
def(FEAT_BEVAL_GUI),True
True,def(WSDEBUG_TRACE)
!def(FEAT_PROFILE),True
!def(INET_SOCKETS),def(INET_SOCKETS)
def(FEAT_BEVAL_GUI),(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI)))
def(WSDEBUG_TRACE),True
def(WSDEBUG),True
!def(INET_SOCKETS),True
def(INET_SOCKETS),True
(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI)),def(FEAT_BEVAL_GUI)
def(WSDEBUG_SENSE),True
def(WIN32),True
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),def(FEAT_BEVAL_GUI)
def(MAIN),True
True,def(NBDEBUG)
def(FEAT_BEVAL_GUI),(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI))
def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL_GUI)
