True,def(USE_MING_FLASH)
!def(USE_GD_PNG),True
!def(USE_ORACLESPATIAL),True
!def(USE_WMS_SVR),True
True,def(USE_AGG)
True,!def(USE_GD_TTF)
def(USE_GD_JPEG),True
True,(def(USE_FASTCGI)&def(USE_AGG))
!def(USE_FASTCGI),def(USE_FASTCGI)
!def(USE_FASTCGI),def(USE_WMS_SVR)
True,def(USE_WMS_LYR)
!def(USE_FASTCGI),True
True,!def(USE_PROJ)
def(USE_FASTCGI),!def(USE_FASTCGI)
def(USE_GDAL),True
def(USE_WMS_SVR),(def(USE_GD_PNG)&def(USE_WMS_SVR))
True,!def(USE_THREAD)
def(USE_WMS_LYR),(def(USE_MING_FLASH)&def(USE_WMS_LYR))
!def(USE_PROJ),True
True,(!def(USE_FASTCGI)&def(USE_AGG))
def(USE_ORACLESPATIAL),True
True,!def(USE_GEOS)
!def(USE_GD_TTF),True
True,def(GD_HAS_FTEX_XSHOW)
True,(!def(USE_FASTCGI)&!def(USE_AGG))
True,def(TEST)
True,def(USE_SOS_SVR)
def(USE_PDF),True
def(USE_OGR),True
True,def(USE_GD_PNG)
True,def(USE_OGR)
True,!def(__cplusplus)
!def(USE_PDF),True
def(USE_GD_PNG),True
(def(USE_FASTCGI)&!def(USE_AGG)),True
def(TEST_MAPCRYPTO),True
def(USE_WMS_SVR),def(USE_PROJ)
def(USE_PROJ),True
True,def(USE_GD_FT)
def(USE_GD_GIF),True
def(USE_GD_TTF),True
True,(def(USE_FASTCGI)&!def(USE_AGG))
True,def(__cplusplus)
def(USE_SOS_SVR),True
def(_WIN32),True
def(USE_GD_GIF),def(USE_GD_PNG)
!def(USE_GEOS),True
def(USE_GD_FT),!def(USE_GD_FT)
True,def(USE_GD_JPEG)
!def(USE_SOS_SVR),True
True,def(USE_PDF)
def(USE_WMS_SVR),(def(USE_GD_WBMP)&def(USE_WMS_SVR))
def(USE_WCS_SVR),True
def(USE_GD_FT),True
(def(USE_FASTCGI)&def(USE_AGG)),True
def(notdef),True
True,def(USE_GD_WBMP)
(def(USE_OGR)&def(USE_WMS_SVR)),def(USE_OGR)
(def(USE_OGR)&def(USE_WMS_SVR)),!def(USE_OGR)
True,!def(USE_OGR)
!def(USE_GD_JPEG),True
!def(USE_GD_GIF),True
True,def(USE_GD_GIF)
!def(USE_GD_WBMP),True
def(USE_PROJ),!def(USE_PROJ)
True,def(USE_WMS_SVR)
def(USE_AGG),True
def(USE_WMS_SVR),def(USE_OGR)
def(USE_FASTCGI),True
def(GD_HAS_FTEX_XSHOW),True
True,def(USE_FASTCGI)
def(USE_GD_PNG),def(USE_GD_GIF)
def(USE_OGR),!def(USE_OGR)
def(USE_WMS_SVR),!def(USE_OGR)
!def(USE_WMS_SVR),def(USE_WMS_SVR)
def(__cplusplus),True
def(TEST),True
def(USE_WMS_SVR),!def(USE_WMS_SVR)
def(USE_WMS_SVR),(def(USE_GD_GIF)&def(USE_WMS_SVR))
!def(USE_FASTCGI),def(USE_PROJ)
def(USE_SDE),True
def(USE_POINT_Z_M),True
!def(USE_FASTCGI),!def(USE_THREAD)
True,def(USE_GD_TTF)
True,def(USE_POINT_Z_M)
def(USE_MING_FLASH),True
def(USE_GD_WBMP),True
def(USE_GD_TTF),!def(USE_GD_TTF)
(!def(USE_FASTCGI)&def(USE_AGG)),True
def(USE_WMS_SVR),True
True,def(USE_WCS_SVR)
def(USE_FASTCGI),def(USE_PROJ)
def(JISX0208),True
!def(USE_WCS_SVR),True
def(USE_GEOS),True
True,!def(USE_FASTCGI)
True,def(USE_GDAL)
def(USE_WMS_SVR),(def(USE_OGR)&def(USE_WMS_SVR))
True,def(notdef)
def(USE_FASTCGI),!def(USE_THREAD)
!def(USE_OGR),True
def(MS_ENABLE_CGI_CL_DEBUG_ARGS),True
!def(__cplusplus),True
(!def(USE_FASTCGI)&!def(USE_AGG)),True
!def(USE_POINT_Z_M),True
True,!def(USE_WMS_SVR)
True,def(USE_PROJ)
def(USE_FASTCGI),def(USE_WMS_SVR)
!def(USE_WFS_SVR),True
!def(USE_GD_FT),True
def(USE_WMS_SVR),(def(USE_GD_JPEG)&def(USE_WMS_SVR))
def(USE_WMS_SVR),!def(USE_THREAD)
