True,def(USE_LDAP)
True,def(USE_FREEBSD_KQUEUE)
def(HAVE_XATTR),True
True,!def(USE_SELECT)
True,def(USE_POLL)
!def(USE_SELECT),def(USE_SELECT)
def(HAVE_PCRE_H),True
!def(__WIN32),True
def(USE_LINUX_SIGIO),!def(USE_LINUX_SIGIO)
def(HAVE_FORK),True
True,def(HAVE_MMAP)
def(USE_LINUX_SIGIO),True
def(HAVE_PWD_H),True
def(USE_FREEBSD_SENDFILE),True
True,def(USE_SOLARIS_DEVPOLL)
def(USE_SOLARIS_DEVPOLL),!def(USE_SOLARIS_DEVPOLL)
def(HAVE_IPV6),True
def(USE_LINUX_EPOLL),!def(USE_LINUX_EPOLL)
def(DEBUG_ARRAY),True
def(USE_LDAP),True
True,def(HAVE_PCRE_H)
True,def(USE_LINUX_SIGIO)
!def(USE_OPENSSL),True
!def(USE_LDAP),True
True,!def(USE_POLL)
def(USE_FREEBSD_KQUEUE),True
def(USE_OPENSSL),True
True,!def(USE_FREEBSD_KQUEUE)
True,def(HAVE_FORK)
def(USE_LICENSE),True
def(USE_PAM),True
def(__WIN32),True
True,def(USE_LINUX_EPOLL)
def(USE_LINUX_SENDFILE),True
