True,!def(NO_DEBUG_MEMORY)
def(LIBXML_XINCLUDE_ENABLED),True
def(HAVE_SYS_MMAN_H),!def(NO_DEBUG_MEMORY)
(def(DEBUG_XINCLUDE)&def(LIBXML_XINCLUDE_ENABLED)),True
def(DEBUG_SAX_TREE),True
def(DEBUG),True
def(VMS),True
True,def(STANDALONE)
(def(DEBUG_XINCLUDE)&def(LIBXML_XINCLUDE_ENABLED)),def(LIBXML_XINCLUDE_ENABLED)
def(DEBUG_TREE),True
True,!def(BIG_ENDIAN)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
!def(XML_USE_BUFFER_CONTENT),!def(NO_DEBUG_MEMORY)
def(XML_USE_BUFFER_CONTENT),True
True,def(XML_USE_BUFFER_CONTENT)
True,def(LIBXML_XINCLUDE_ENABLED)
!def(VMS),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
!def(NO_DEBUG_MEMORY),True
def(BIG_ENDIAN),True
def(DEBUG),!def(NO_DEBUG_MEMORY)
def(DEBUG_RANGES),True
True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
!def(USE_UTF_8),True
!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
def(STANDALONE),True
True,!def(VMS)
!def(DEBUG),!def(NO_DEBUG_MEMORY)
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
!def(HAVE_SYS_MMAN_H),True
True,def(BIG_ENDIAN)
!def(NO_DEBUG_MEMORY),def(LIBXML_XINCLUDE_ENABLED)
!def(BIG_ENDIAN),True
def(LIBXML_XINCLUDE_ENABLED),(def(DEBUG_XINCLUDE)&def(LIBXML_XINCLUDE_ENABLED))
def(HAVE_SYS_MMAN_H),True
def(STANDALONE),!def(NO_DEBUG_MEMORY)
def(LIBXML_XINCLUDE_ENABLED),!def(XML_USE_BUFFER_CONTENT)
def(DEBUG_EVAL_COUNTS),!def(NO_DEBUG_MEMORY)
True,!def(DEBUG_VALID_ALGO)
def(LIBXML_XINCLUDE_ENABLED),!def(NO_DEBUG_MEMORY)
!def(XML_USE_BUFFER_CONTENT),True
True,def(HAVE_SYS_MMAN_H)
True,!def(XML_USE_BUFFER_CONTENT)
def(DEBUG_VALID_ALGO),True
!def(DEBUG_VALID_ALGO),True
