!def(NO_DEBUG_MEMORY),def(LIBXML_XINCLUDE_ENABLED)
def(LIBXML_HTML_ENABLED),!def(LIBXML_HTML_ENABLED)
!def(LIBXML_HTML_ENABLED),True
def(STANDALONE),True
def(VMS),def(LIBXML_XPTR_ENABLED)
def(LIBXML_XPTR_ENABLED),def(XML_USE_BUFFER_CONTENT)
True,def(LIBXML_XPTR_ENABLED)
!def(XML_USE_BUFFER_CONTENT),True
def(LIBXML_HTML_ENABLED),True
def(VMS),True
!def(LIBXML_HTML_ENABLED),def(LIBXML_HTML_ENABLED)
def(WITH_EXTRA_ENT_DETECT),!def(NO_DEBUG_MEMORY)
def(DEBUG),True
!def(NO_DEBUG_MEMORY),True
True,def(XML_USE_BUFFER_CONTENT)
(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_HTML_ENABLED)),!def(VMS)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
def(DEBUG_STEP),def(LIBXML_XPATH_ENABLED)
!def(LIBXML_DEBUG_ENABLED),True
def(LIBXML_XPATH_ENABLED),!def(NO_DEBUG_MEMORY)
def(DEBUG_VALID_ALGO),True
True,def(BIG_ENDIAN)
!def(LIBXML_HTML_ENABLED),!def(NO_DEBUG_MEMORY)
def(LIBXML_XPTR_ENABLED),True
def(LIBXML_XINCLUDE_ENABLED),def(XML_USE_BUFFER_CONTENT)
!def(VMS),True
def(LIBXML_XPTR_ENABLED),!def(NO_DEBUG_MEMORY)
(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_XPTR_ENABLED)),def(LIBXML_XPTR_ENABLED)
def(LIBXML_HTML_ENABLED),!def(VMS)
def(STANDALONE),!def(NO_DEBUG_MEMORY)
!def(BIG_ENDIAN),True
True,(def(LIBXML_XPTR_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_XPTR_ENABLED)))
def(LIBXML_XPATH_ENABLED),True
!def(VMS),def(LIBXML_XPTR_ENABLED)
def(LIBXML_XINCLUDE_ENABLED),def(LIBXML_XPTR_ENABLED)
!def(XML_USE_BUFFER_CONTENT),!def(VMS)
!def(LIBXML_XPTR_ENABLED),def(LIBXML_XPATH_ENABLED)
True,def(LIBXML_DEBUG_ENABLED)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
(def(LIBXML_XPTR_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_XPTR_ENABLED))),True
def(LIBXML_XPATH_ENABLED),def(LIBXML_XPTR_ENABLED)
True,!def(LIBXML_HTML_ENABLED)
True,(def(LIBXML_HTML_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_HTML_ENABLED)))
def(LIBXML_HTML_ENABLED),!def(NO_DEBUG_MEMORY)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),def(LIBXML_XINCLUDE_ENABLED)
(def(DEBUG_RANGES)&def(LIBXML_XPTR_ENABLED)),True
True,def(LIBXML_XPATH_ENABLED)
True,!def(BIG_ENDIAN)
!def(VMS),(def(LIBXML_HTML_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_HTML_ENABLED)))
def(LIBXML_HTML_ENABLED),(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_HTML_ENABLED))
(def(LIBXML_HTML_ENABLED)&def(LIBXML_DEBUG_ENABLED)),True
def(LIBXML_DEBUG_ENABLED),True
!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
!def(USE_UTF_8),True
True,!def(VMS)
!def(VMS),def(XML_USE_BUFFER_CONTENT)
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
(def(LIBXML_HTML_ENABLED)&def(LIBXML_DEBUG_ENABLED)),def(LIBXML_HTML_ENABLED)
def(LIBXML_HTML_ENABLED),(def(LIBXML_HTML_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_HTML_ENABLED)))
!def(LIBXML_XPTR_ENABLED),!def(NO_DEBUG_MEMORY)
def(LIBXML_XINCLUDE_ENABLED),!def(NO_DEBUG_MEMORY)
