True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
!def(DEBUG),!def(NO_DEBUG_MEMORY)
True,def(STANDALONE)
!def(VMS),True
True,!def(VMS)
def(DEBUG_XINCLUDE),True
!def(BIG_ENDIAN),True
def(DEBUG_EVAL_COUNTS),!def(NO_DEBUG_MEMORY)
True,!def(BIG_ENDIAN)
def(STANDALONE),!def(NO_DEBUG_MEMORY)
def(DEBUG_TREE),True
True,!def(NO_DEBUG_MEMORY)
!def(NO_DEBUG_MEMORY),def(LIBXML_C14N_ENABLED)
def(STANDALONE),True
def(LIBXML_C14N_ENABLED),!def(NO_DEBUG_MEMORY)
def(BIG_ENDIAN),True
def(DEBUG_VALID_ALGO),True
def(LIBXML_C14N_ENABLED),(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED))
True,def(LIBXML_C14N_ENABLED)
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),True
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),def(LIBXML_C14N_ENABLED)
True,!def(DEBUG_VALID_ALGO)
!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
!def(USE_UTF_8),True
True,def(DEBUG_RANGES)
def(DEBUG_RANGES),True
def(DEBUG_SAX_TREE),True
!def(NO_DEBUG_MEMORY),True
True,!def(USE_UTF_8)
def(LIBXML_C14N_ENABLED),True
def(DEBUG),!def(NO_DEBUG_MEMORY)
!def(DEBUG_VALID_ALGO),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
def(VMS),True
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
def(DEBUG),True
True,def(BIG_ENDIAN)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
