!def(STATIC),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_MODERN_UTMP),
!def(_MSC_VER),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(_AIX),
!def(_AIX),
def(ENV_LD_LIBRARY_PATH),
def(SYSLOG_NG_HAVE_MODERN_UTMP),
True,
def(__linux__),
!def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
