!def(STATIC),
True,
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_AIX),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
!def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(PCRE_NEWLINE_ANYCRLF),
def(_AIX),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(JSON_C_VERSION),
