!def(_AIX),
!def(PCRE_NEWLINE_ANYCRLF),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(JSON_C_VERSION),
def(_AIX),
!def(_MSC_VER),
True,
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(__linux__),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(JSON_C_VERSION),
!def(STATIC),
