def(SYSLOG_NG_HAVE_MODERN_UTMP),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_AIX),
True,
def(ENV_LD_LIBRARY_PATH),
!def(_MSC_VER),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_MODERN_UTMP),
!def(STATIC),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(_AIX),
def(JSON_C_VERSION),
def(__linux__),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
