def(HAVE_GETUTXENT),True
True,!def(HAVE_INET_ATON)
True,def(HAVE_CLOCK_GETTIME)
True,def(HAVE_GETUTXENT)
def(__linux__),True
True,!def(TCP_KEEPIDLE)
True,!def(HAVE_GETUTENT)
def(HAVE_UTMPX_H),!def(HAVE_GETUTENT)
!def(HAVE_GETUTXENT),True
!def(TCP_KEEPINTVL),True
!def(HAVE_UTMPX_H),!def(HAVE_GETUTENT)
def(HAVE_UTMPX_H),!def(HAVE_GETUTXENT)
!def(HAVE_INET_ATON),True
True,!def(TCP_KEEPCNT)
True,!def(TCP_KEEPINTVL)
True,def(__linux__)
!def(TCP_KEEPIDLE),True
!def(HAVE_UTMPX_H),!def(HAVE_GETUTXENT)
!def(TCP_KEEPCNT),True
!def(HAVE_GETUTXENT),def(HAVE_GETUTXENT)
True,!def(HAVE_GETUTXENT)
!def(HAVE_GETUTXENT),!def(HAVE_GETUTENT)
