!def(OSSECHIDS),def(OSSECHIDS)
!def(WIN32),True
True,(!def(ASM_MD5)&!def(HIGHFIRST))
True,def(OSSECHIDS)
True,!def(OSSECHIDS)
True,def(WIN32)
!def(BF_DEFAULT_OPTIONS),True
!def(OSSECHIDS),!def(WIN32)
!def(LOCAL),True
def(BF_PTR2),!def(BF_PTR2)
True,def(AIX)
def(WIN32),True
def(SOLARIS),def(OSSECHIDS)
def(DEBUG),True
!def(BF_PTR2),def(BF_PTR2)
!def(SOLARIS),def(OSSECHIDS)
True,!def(BF_DEFAULT_OPTIONS)
True,!def(WIN32)
def(__OpenBSD__),True
!def(OSSECHIDS),True
!def(LOCAL),def(WIN32)
def(OSSECHIDS),def(WIN32)
def(OSSECHIDS),True
