(!def(USE_LIBPROXY)&!def(WIN32)),True
(!def(USE_LIBPROXY)&!def(USE_SIGACTION)&def(USE_DBUS)),True
True,!def(USE_GTKSPELL)
True,(!def(USE_LIBPROXY)&def(USE_MSPROXY))
(!def(USE_LIBCANBERRA)&!def(USE_XLIB)),True
(!def(USE_LIBPROXY)&def(USE_MSPROXY)),def(USE_MSPROXY)
(!def(USE_LIBPROXY)&!def(USE_SIGACTION)&!def(__EMX__)&!def(WIN32)),True
!def(WIN32),True
True,def(WIN32)
!def(USE_GTKSPELL),True
True,(!def(USE_LIBPROXY)&!def(USE_SIGACTION)&!def(WIN32))
True,!def(USE_LIBPROXY)
def(WIN32),(!def(USE_LIBCANBERRA)&!def(USE_XLIB)&def(WIN32))
def(WIN32),!def(WIN32)
(!def(USE_LIBCANBERRA)&!def(USE_XLIB)&!def(WIN32)),True
(!def(USE_LIBCANBERRA)&!def(USE_XLIB)&def(WIN32)),True
True,(!def(USE_LIBCANBERRA)&!def(USE_XLIB))
def(LOOKUPD),True
(!def(USE_LIBCANBERRA)&!def(USE_XLIB)),def(WIN32)
(!def(USE_GTKSPELL)&!def(WIN32)),True
def(USE_MSPROXY),True
True,!def(WIN32)
True,(!def(USE_LIBPROXY)&!def(USE_SIGACTION))
True,(!def(USE_LIBPROXY)&!def(WIN32))
def(WIN32),True
!def(WIN32),def(WIN32)
