!def(HAVE_INET_NTOP),True
!def(CURL_DISABLE_FTP),True
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
def(CURL_DISABLE_HTTP),True
True,def(CURL_DOES_CONVERSIONS)
True,def(CURLRES_SYNCH)
!def(CURL_DISABLE_HTTP),True
True,!def(HAVE_MEMRCHR)
True,!def(CURL_DISABLE_HTTP)
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
True,def(__AMIGA__)
!def(CURL_DISABLE_DICT),True
def(DEBUGBUILD),True
def(CURLDEBUG),True
def(CURLRES_IPV6),True
!def(DEBUGBUILD),True
