!def(CURL_DISABLE_HTTP),True
def(CURL_DOES_CONVERSIONS),True
True,(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP))
def(CURL_DISABLE_HTTP),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
!def(CURL_DISABLE_DICT),True
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
True,!def(HAVE_MEMRCHR)
!def(WANT_IDN_PROTOTYPES),True
True,def(__riscos__)
(def(ENABLE_IPV6)&def(USE_POLARSSL)),(def(ENABLE_IPV6)&!def(HAVE_INET_PTON))
def(DEBUGBUILD),True
def(CURLDEBUG),True
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),True
!def(CURL_DISABLE_HTTP),def(CURL_DOES_CONVERSIONS)
True,!def(CURL_DISABLE_HTTP)
!def(CURL_DISABLE_FTP),True
!def(CURL_DISABLE_PROXY),True
!def(DEBUGBUILD),True
def(USE_CYASSL),True
!def(HAVE_INET_NTOP),True
def(USE_POLARSSL),(def(ENABLE_IPV6)&!def(HAVE_INET_PTON))
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),!def(HAVE_INET_NTOP)
True,def(CURL_DOES_CONVERSIONS)
!def(CURL_DISABLE_RTSP),True
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),def(CURL_DOES_CONVERSIONS)
True,def(__AMIGA__)
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),True
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
def(__riscos__),def(CURLDEBUG)
def(__riscos__),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
!def(CURL_DISABLE_GOPHER),True
