!def(HAVE_INET_NTOP),True
!def(CURL_DISABLE_CRYPTO_AUTH),True
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI)))
!def(CURL_DISABLE_DICT),True
!def(CURL_DISABLE_TFTP),True
def(CURLDEBUG),True
True,!def(HAVE_STRTOK_R)
def(USE_POLARSSL),!def(HAVE_INET_PTON)
!def(DEBUGBUILD),True
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),True
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),True
def(DISABLE_EXPECT),def(USE_CHUNKED)
(def(ENABLE_IPV6)&def(USE_POLARSSL)),!def(HAVE_INET_PTON)
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),True
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),True
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),def(USE_CYASSL)
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),!def(HAVE_INET_NTOP)
True,(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP))
def(CURL_DISABLE_HTTP),True
True,def(__AMIGA__)
True,def(__riscos__)
True,!def(CURL_DISABLE_HTTP)
True,def(CURL_DOES_CONVERSIONS)
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED))
def(__riscos__),def(CURLDEBUG)
True,!def(CURL_DISABLE_LIBCURL_OPTION)
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
True,def(CURLDEBUG)
!def(CURL_DISABLE_HTTP),True
!def(CURL_DISABLE_HTTP),(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP)))
def(HAVE_GETHOSTNAME),(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD))
def(__VMS),True
def(USE_POLARSSL),(def(ENABLE_IPV6)&def(USE_POLARSSL))
def(HAVE_GETHOSTNAME),True
True,(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY)))
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
def(USE_CYASSL),True
True,(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP))
True,def(__VMS)
!def(USE_WINDOWS_SSPI),True
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
def(DEBUGBUILD),True
!def(USE_WINDOWS_SSPI),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
!def(CURL_DISABLE_RTSP),True
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),True
True,!def(__EMX__)
def(USE_CHUNKED),def(DISABLE_EXPECT)
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),def(CURL_DOES_CONVERSIONS)
True,def(DEBUGBUILD)
True,!def(HAVE_MEMRCHR)
!def(CURL_DISABLE_LIBCURL_OPTION),True
!def(CURL_DISABLE_GOPHER),True
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
def(USE_CHUNKED),True
!def(__EMX__),True
(def(WIN32)&!def(__AMIGA__)),True
def(USE_NTLM),True
True,(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD))
def(USE_NTLM),!def(USE_WINDOWS_SSPI)
!def(CURL_DISABLE_HTTP),(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP))
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
def(DISABLE_EXPECT),True
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(USE_CYASSL),(!def(NO_FILESYSTEM)&def(USE_CYASSL))
def(CURL_DOES_CONVERSIONS),True
def(HAVE_GETHOSTNAME),(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME))
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
!def(CURL_DISABLE_PROXY),True
!def(CURL_DISABLE_FTP),True
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),True
