(def(_LDAP_PVT_H)&!def(USE_SSL)),True
(def(ENABLE_IPV6)&def(USE_POLARSSL)),!def(HAVE_INET_PTON)
!def(CURL_DISABLE_DICT),True
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),def(USE_CYASSL)
def(USE_NTLM),!def(USE_WINDOWS_SSPI)
def(HAVE_GETHOSTNAME),(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME))
def(USE_CYASSL),(!def(NO_FILESYSTEM)&def(USE_CYASSL))
True,def(__riscos__)
!def(CURL_DISABLE_RTSP),True
def(DEBUGBUILD),True
def(USE_CHUNKED),True
!def(CURL_DISABLE_HTTP),(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP))
def(__VMS),True
!def(CURL_DISABLE_HTTP),(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP)))
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),def(CURL_DOES_CONVERSIONS)
!def(CURL_DISABLE_HTTP),True
!def(CURL_DISABLE_CRYPTO_AUTH),True
True,(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY)))
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
True,def(__VMS)
!def(CURL_DISABLE_PROXY),True
def(CURL_DISABLE_HTTP),True
def(DISABLE_EXPECT),def(USE_CHUNKED)
True,(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD))
!def(CURL_DISABLE_LIBCURL_OPTION),True
!def(HAVE_INET_NTOP),True
def(CURL_DOES_CONVERSIONS),True
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),True
True,def(DEBUGBUILD)
def(HAVE_GETHOSTNAME),(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD))
def(USE_CYASSL),True
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
True,def(CURL_DOES_CONVERSIONS)
True,(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP))
True,!def(HAVE_MEMRCHR)
True,!def(HAVE_STRTOK_R)
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI)))
!def(CURL_DISABLE_TFTP),True
def(USE_POLARSSL),(def(ENABLE_IPV6)&def(USE_POLARSSL))
def(USE_POLARSSL),!def(HAVE_INET_PTON)
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),True
def(HAVE_GETHOSTNAME),True
True,!def(CURL_DISABLE_HTTP)
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),True
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),True
def(__riscos__),def(CURLDEBUG)
(def(WIN32)&!def(__AMIGA__)),True
def(DISABLE_EXPECT),True
!def(USE_WINDOWS_SSPI),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(USE_NTLM),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),True
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
!def(__EMX__),True
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED))
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),True
True,def(__AMIGA__)
True,(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP))
!def(CURL_DISABLE_FTP),True
True,!def(CURL_DISABLE_LIBCURL_OPTION)
!def(CURL_DISABLE_GOPHER),True
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),True
!def(DEBUGBUILD),True
!def(USE_WINDOWS_SSPI),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
True,!def(__EMX__)
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),!def(HAVE_INET_NTOP)
def(USE_CHUNKED),def(DISABLE_EXPECT)
